"","stnr","z","x","y","NO"
"634",25610,768,128199,6730001,TRUE
"635",25630,772,126964,6729759,TRUE
"636",25640,841,124444,6730246,TRUE
"637",25720,996,106608,6730653,TRUE
"638",25730,988,109104,6729493,TRUE
"639",29720,798,143875,6715578,TRUE
"640",29770,871,139828,6715733,TRUE
"641",29790,828,139297,6715192,TRUE
"642",29800,895,138540,6715447,TRUE
"643",26240,402,194128,6665477,TRUE
"644",26350,143,191325,6679530,TRUE
"645",26370,271,187556,6691937,TRUE
"646",26380,293,187156,6692397,TRUE
"647",26400,463,183809,6694275,TRUE
"648",24600,367,200111,6679023,TRUE
"649",24670,150,206565,6693129,TRUE
"650",19930,375,223328,6647088,TRUE
"651",26080,89,214075,6653193,TRUE
"652",26160,116,213603,6652760,TRUE
"653",26161,80,212807,6653347,TRUE
"654",26480,58,214720,6649408,TRUE
"655",26670,21,215515,6620491,TRUE
"656",26680,416,214152,6618527,TRUE
"657",26820,15,213236,6635882,TRUE
"658",19923,250,238240,6640483,TRUE
"659",19940,39,234131,6637557,TRUE
"660",19820,363,249942,6618251,TRUE
"661",19850,122,245451,6612534,TRUE
"662",28800,288,193925,6653914,TRUE
"663",28920,243,174728,6671577,TRUE
"664",28921,220,175422,6670496,TRUE
"665",28922,275,174236,6670691,TRUE
"666",29230,378,165998,6696462,TRUE
"667",29300,495,157306,6697237,TRUE
"668",29310,486,156208,6697509,TRUE
"669",29350,648,151980,6696433,TRUE
"670",29450,737,165173,6702104,TRUE
"671",29600,870,156682,6719278,TRUE
"672",29700,1035,141305,6710788,TRUE
"673",27130,40,240402,6597095,TRUE
"674",27140,12,241220,6595340,TRUE
"675",27065,25,232272,6608726,TRUE
"676",27070,78,233751,6604207,TRUE
"677",27080,1,235796,6603147,TRUE
"678",27230,31,244642,6583367,TRUE
"679",27240,3,244918,6583907,TRUE
"680",27270,3,239763,6579935,TRUE
"681",27285,30,236865,6584637,TRUE
"682",27330,33,232325,6582219,TRUE
"683",27470,88,229013,6570241,TRUE
"684",27560,43,227369,6565699,TRUE
"685",27564,72,225728,6566677,TRUE
"686",27580,70,228429,6563500,TRUE
"687",27600,6,226277,6564571,TRUE
"688",27700,68,225582,6566632,TRUE
"689",27720,34,225275,6563090,TRUE
"690",27730,100,226284,6570247,TRUE
"691",27780,19,220458,6555460,TRUE
"692",27785,70,219874,6562242,TRUE
"693",27800,31,212498,6572740,TRUE
